scene,metric,mean,std,min,max,p95,growth
SmallScale,frame_time_ms,15.140340737001514,7.779228028280318,10.536,333.333,19.2643,
SmallScale,memory_mb,925.9618803634528,123.41988889877815,0.0,1038.13,,947.59
SmallScale,throughput_msg_sec,98.41707218576477,12.62006572421286,0.0,101.69,,
SmallScale,cache_hit_rate,0.0,0.0,0.0,0.0,,
MediumScale,frame_time_ms,16.281771234735416,9.595743707370664,11.337,333.333,20.879,
MediumScale,memory_mb,938.1003202170964,125.45867115195966,0.0,1031.63,,969.08
MediumScale,throughput_msg_sec,492.0448656716418,63.32762561840917,0.0,509.83,,
MediumScale,cache_hit_rate,0.0,0.0,0.0,0.0,,
LargeScale,frame_time_ms,18.69276721720162,13.072411404839539,11.843,333.333,24.023799999999998,
LargeScale,memory_mb,939.2035213462138,134.12265060845297,0.0,1023.81,,938.07
LargeScale,throughput_msg_sec,980.1980803988782,140.99004874415806,0.0,1019.04,,
LargeScale,cache_hit_rate,0.0,0.0,0.0,0.0,,
