scene,metric,mean,std,min,max,p95,growth
SmallScale,frame_time_ms,32.55481877373847,11.699124689954935,20.0,333.333,38.22019999999999,
SmallScale,memory_mb,923.2706673901248,48.567698607554604,857.69,1014.27,,-40.49000000000001
SmallScale,throughput_msg_sec,30.50461204557786,4.7088577445283315,0.0,36.14,,
SmallScale,cache_hit_rate,0.0,0.0,0.0,0.0,,
MediumScale,frame_time_ms,33.37662604340567,11.642815496678628,20.0,333.333,40.43999999999999,
MediumScale,memory_mb,919.8411296605453,48.045338244869434,858.31,1013.54,,-36.180000000000064
MediumScale,throughput_msg_sec,29.813066221480245,4.772353696280813,0.0,34.98,,
MediumScale,cache_hit_rate,0.0,0.0,0.0,0.0,,
LargeScale,frame_time_ms,35.690550862581794,9.552534052976444,20.0,333.333,43.951,
LargeScale,memory_mb,921.2842117787031,45.38893967160134,865.66,1013.57,,-32.16999999999996
LargeScale,throughput_msg_sec,27.93170731707317,4.730029950574662,0.0,33.67,,
LargeScale,cache_hit_rate,0.0,0.0,0.0,0.0,,
